Actual Average Arrival Rate: 2.00853
Actual Average Service Time: 0.997537
1000 Processes
1 0.916878 0.501507
2 1.68104 1.60167
3 2.89424 0.220087
4 3.0984 1.46201
5 3.26111 0.807369
6 3.58557 0.991205
7 3.81247 0.720315
8 5.33314 2.47926
9 5.83805 1.26336
10 5.91439 0.933866
11 5.92261 0.278242
12 5.99641 1.63054
13 6.08162 0.512401
14 6.15113 0.115196
15 9.56862 0.246229
16 9.9283 1.82705
17 10.4025 0.351022
18 10.9099 0.742941
19 11.2501 3.60362
20 11.4232 1.4756
21 11.7972 1.4693
22 12.0528 2.22128
23 12.2194 0.434572
24 13.0438 2.51363
25 13.0799 2.98236
26 13.4532 0.0899858
27 13.5599 1.08835
28 14.6646 0.429081
29 14.6978 0.0202262
30 15.0038 0.0651743
31 15.1399 3.52792
32 16.3023 1.90327
33 16.4574 0.776008
34 16.6926 1.42815
35 17.0518 1.10179
36 17.431 0.0400726
37 17.7189 2.68582
38 19.0543 1.27637
39 19.2215 1.34145
40 19.7323 0.437031
41 20.3145 0.181491
42 20.6045 2.12089
43 21.4881 0.400981
44 21.6181 2.23841
45 21.8338 1.1605
46 23.4009 0.888287
47 23.9364 1.9567
48 24.2259 2.57662
49 24.48 1.68614
50 25.0564 2.4188
51 25.3857 0.243123
52 26.8861 2.52733
53 26.966 2.12915
54 27.4784 0.565552
55 27.9616 0.329977
56 28.7325 0.367386
57 29.0287 0.256321
58 29.1326 0.323288
59 29.539 0.538713
60 29.632 2.37305
61 29.6864 0.134761
62 30.0285 1.4291
63 32.1201 2.73343
64 32.6968 0.483192
65 33.3895 0.459916
66 33.5637 0.264306
67 34.0028 0.28026
68 34.0855 1.31732
69 34.1525 1.57731
70 34.2421 1.36677
71 34.2809 2.99782
72 34.3078 0.737232
73 34.4048 0.274519
74 35.204 1.31921
75 35.7384 3.4236
76 36.2485 1.42601
77 36.2975 0.144913
78 36.6647 0.0814619
79 36.701 0.228979
80 37.0104 1.71301
81 37.4362 1.40887
82 37.4629 0.171746
83 43.4403 0.228569
84 44.5437 0.134067
85 47.6031 0.0555736
86 48.6253 0.0750779
87 48.6274 2.56485
88 49.078 0.198905
89 49.167 0.497071
90 50.3881 1.71311
91 50.6105 0.804045
92 51.0436 0.602531
93 51.625 0.104961
94 52.0034 1.4159
95 52.1848 4.85729
96 52.6149 2.10057
97 53.3037 0.99131
98 53.3217 1.37754
99 54.2173 2.5953
100 55.2502 1.77808
101 57.1923 1.36184
102 58.3607 4.11021
103 58.9103 0.687679
104 58.9998 1.77203
105 60.0987 0.0801203
106 60.6232 0.285078
107 61.1196 0.260245
108 61.7227 0.381066
